Tue Jun  9 19:00:37 2020    GW-profile

         14994 function calls (14238 primitive calls) in 0.015 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1093    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      722    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      607    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      443    0.000    0.000    0.000    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\numpy\core\_asarray.py:16(asarray)
      425    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      424    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      369    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
  353/343    0.000    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      328    0.000    0.000    0.000    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\cvxpy\utilities\scopes.py:47(dpp_scope_active)
      327    0.000    0.000    0.000    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\scipy\sparse\base.py:84(get_shape)
      293    0.000    0.000    0.000    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\cvxpy\utilities\performance_utils.py:41(<listcomp>)
      293    0.000    0.000    0.000    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\cvxpy\utilities\performance_utils.py:40(_cache_key)
   293/65    0.000    0.000    0.002    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\cvxpy\utilities\performance_utils.py:59(_compute_once)
      270    0.000    0.000    0.000    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\numpy\core\getlimits.py:497(__init__)
      259    0.000    0.000    0.000    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\scipy\sparse\base.py:242(nnz)
      210    0.000    0.000    0.000    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\scipy\sparse\sputils.py:280(<genexpr>)
      200    0.000    0.000    0.000    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\scipy\sparse\compressed.py:110(getnnz)
      188    0.000    0.000    0.000    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\numpy\core\multiarray.py:469(can_cast)
      188    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(can_cast)
      162    0.000    0.000    0.000    0.000 {built-in method _operator.index}
      160    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      154    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      145    0.000    0.000    0.000    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\numpy\core\getlimits.py:508(min)
      145    0.000    0.000    0.000    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\numpy\core\getlimits.py:521(max)
      135    0.001    0.000    0.002    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\scipy\sparse\sputils.py:121(get_index_dtype)
      135    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      126    0.000    0.000    0.000    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\cvxpy\atoms\atom.py:74(shape)
      123    0.000    0.000    0.000    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\cvxpy\expressions\expression.py:602(__hash__)
      121    0.000    0.000    0.000    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\scipy\sparse\csc.py:232(_swap)
      120    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
  107/101    0.000    0.000    0.000    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\cvxpy\utilities\deterministic.py:6(<listcomp>)
  107/101    0.000    0.000    0.000    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\cvxpy\utilities\deterministic.py:1(unique_list)
   100/36    0.000    0.000    0.000    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\cvxpy\expressions\expression.py:171(<genexpr>)
       94    0.000    0.000    0.000    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\scipy\_lib\_util.py:129(_prune_array)
       90    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       84    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       83    0.000    0.000    0.000    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\scipy\sparse\base.py:1192(isspmatrix)
       83    0.000    0.000    0.000    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\cvxpy\expressions\expression.py:456(cast_to_const)
    83/42    0.000    0.000    0.001    0.000 {built-in method builtins.all}
