Tue Jun  9 19:23:24 2020    QAOA-profile-p4

         118850644 function calls (118296919 primitive calls) in 96.043 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 17596060    2.042    0.000    2.137    0.000 {built-in method builtins.isinstance}
4803354/4799341    0.447    0.000    0.449    0.000 {built-in method builtins.len}
  4364599    0.484    0.000    0.484    0.000 {method 'append' of 'list' objects}
  2860837    0.345    0.000    0.381    0.000 {built-in method builtins.hash}
  2665209    0.360    0.000    0.360    0.000 {method 'get' of 'dict' objects}
  2592050    0.362    0.000    0.362    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\bit.py:75(__hash__)
  2515781    0.200    0.000    0.200    0.000 {built-in method builtins.id}
  2431498    0.822    0.000    1.225    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagnode.py:104(__hash__)
  2209427    0.755    0.000    0.755    0.000 {built-in method builtins.getattr}
  2134612    1.052    0.000    2.802    0.000 {built-in method builtins.all}
  2098509    0.304    0.000    0.304    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\bit.py:49(register)
  2006210    0.851    0.000    2.476    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\register.py:132(__iter__)
  1813618    1.302    0.000    1.881    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\register.py:106(__getitem__)
  1749436    0.221    0.000    0.221    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\register.py:74(name)
  1721303    0.419    0.000    0.419    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagnode.py:61(op)
  1645140    0.169    0.000    0.169    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\retworkx_dagcircuit.py:109(_key)
  1636172    0.598    0.000    0.598    0.000 {built-in method builtins.hasattr}
  1540754    0.266    0.000    0.266    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:132(params)
  1344165    0.236    0.000    0.236    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:742(<genexpr>)
  1324098    0.309    0.000    0.385    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:642(<genexpr>)
  1324098    0.596    0.000    1.101    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:644(<genexpr>)
  1271947    0.164    0.000    0.164    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\bit.py:60(index)
  1197877    0.217    0.000    0.217    0.000 {built-in method builtins.iter}
1135212/605584    0.946    0.000    7.172    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  1111419    0.235    0.000    0.235    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:178(definition)
  1059280    1.771    0.000    4.824    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\copy.py:66(copy)
  1059256    0.135    0.000    0.135    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\numpy\core\fromnumeric.py:3126(_around_dispatcher)
   962964    1.314    0.000    3.132    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:53(__init__)
   962964    1.123    0.000    1.638    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:137(params)
   954938    1.181    0.000    4.633    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\gate.py:28(__init__)
   858666    0.488    0.000    0.488    0.000 {method 'add_edge' of 'retworkx.PyDAG' objects}
   858666    0.325    0.000    0.812    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\retworkx_dagcircuit.py:62(_add_multi_graph_edge)
   826562    0.316    0.000    0.396    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:227(has_register)
   806499    0.383    0.000    0.680    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\_collections_abc.py:879(__iter__)
   806499    0.298    0.000    0.298    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuitdata.py:31(__getitem__)
   637967    0.131    0.000    0.131    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagnode.py:72(qargs)
   629957    0.102    0.000    0.102    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\register.py:86(size)
   625924    0.127    0.000    0.172    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:167(<genexpr>)
   561744    0.078    0.000    0.081    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:649(<genexpr>)
   561744    0.084    0.000    0.114    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:651(<genexpr>)
   545705    0.275    0.000    0.275    0.000 {method 'update' of 'dict' objects}
   534053    0.533    0.000    5.166    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\numpy\core\fromnumeric.py:55(_wrapfunc)
