Tue Jun 23 13:33:29 2020    pso-self

         14577833 function calls (14523029 primitive calls) in 13.171 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2250    3.953    0.002    3.953    0.002 {method 'acquire' of '_thread.lock' objects}
    30800    0.373    0.000    0.947    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:292(apply_operation_back)
     2249    0.360    0.000    1.619    0.001 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\passes\optimization\optimize_1q_gates.py:47(run)
  2097421    0.223    0.000    0.243    0.000 {built-in method builtins.isinstance}
   122462    0.197    0.000    0.535    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\copy.py:66(copy)
     4498    0.179    0.000    0.571    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:1237(collect_runs)
     5598    0.160    0.000    0.183    0.000 {lexicographical_topological_sort}
    28367    0.144    0.000    0.144    0.000 {method 'round' of 'numpy.ndarray' objects}
   213400    0.140    0.000    0.193    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\register.py:106(__getitem__)
    61231    0.133    0.000    0.360    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:640(_check_qargs)
    19803    0.133    0.000    0.133    0.000 {method 'round' of 'numpy.generic' objects}
    20900    0.129    0.000    0.182    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:2879(_bind)
    17464    0.124    0.000    0.200    0.000 C:\Users\joost\Documents\GitHub\bep\Implementation\ZhouClass2\QAOA.py:26(<listcomp>)
    61231    0.122    0.000    0.780    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:549(_append)
    92187    0.121    0.000    0.277    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:53(__init__)
   249324    0.120    0.000    0.323    0.000 {built-in method builtins.all}
    20900    0.118    0.000    0.292    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:2117(_signature_from_function)
    89987    0.107    0.000    0.410    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\gate.py:28(__init__)
    27500    0.107    0.000    1.021    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:524(append)
    92187    0.097    0.000    0.140    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:137(params)
    61231    0.093    0.000    0.179    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\copy.py:269(_reconstruct)
   282376    0.085    0.000    0.085    0.000 {built-in method builtins.getattr}
   111384    0.084    0.000    0.086    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\networkx\classes\reportviews.py:1025(__iter__)
   231000    0.083    0.000    0.246    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\register.py:132(__iter__)
   250228    0.080    0.000    0.119    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagnode.py:104(__hash__)
    20900    0.078    0.000    0.428    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:2198(_signature_from_callable)
    48400    0.075    0.000    0.187    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagnode.py:34(__init__)
    20900    0.075    0.000    0.759    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\basepasses.py:35(_freeze_init_parameters)
