Tue Jun 23 13:33:19 2020    pso-static

         15241129 function calls (15186465 primitive calls) in 14.104 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2248    4.027    0.002    4.027    0.002 {method 'acquire' of '_thread.lock' objects}
    30800    0.386    0.000    0.979    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:292(apply_operation_back)
     2270    0.369    0.000    1.662    0.001 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\passes\optimization\optimize_1q_gates.py:47(run)
    18641    0.329    0.000    0.518    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\networkx\convert_matrix.py:980(to_numpy_array)
  2095778    0.229    0.000    0.251    0.000 {built-in method builtins.isinstance}
   122412    0.207    0.000    0.561    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\copy.py:66(copy)
     4540    0.187    0.000    0.595    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:1237(collect_runs)
     5640    0.167    0.000    0.191    0.000 {lexicographical_topological_sort}
    28190    0.146    0.000    0.146    0.000 {method 'round' of 'numpy.ndarray' objects}
   213400    0.146    0.000    0.200    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\register.py:106(__getitem__)
    19842    0.137    0.000    0.137    0.000 {method 'round' of 'numpy.generic' objects}
    17541    0.135    0.000    0.215    0.000 C:\Users\joost\Documents\GitHub\bep\Implementation\ZhouClass\QAOA.py:23(<listcomp>)
    20900    0.135    0.000    0.190    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:2879(_bind)
    61206    0.130    0.000    0.746    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:549(_append)
    92190    0.124    0.000    0.284    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:53(__init__)
    20900    0.123    0.000    0.306    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:2117(_signature_from_function)
   249224    0.122    0.000    0.331    0.000 {built-in method builtins.all}
    89990    0.110    0.000    0.421    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\gate.py:28(__init__)
    27500    0.109    0.000    1.052    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:524(append)
115160/67124    0.103    0.000    0.640    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    92190    0.100    0.000    0.144    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:137(params)
    61206    0.099    0.000    0.189    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\copy.py:269(_reconstruct)
   282186    0.089    0.000    0.089    0.000 {built-in method builtins.getattr}
   111846    0.088    0.000    0.090    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\networkx\classes\reportviews.py:1025(__iter__)
    17541    0.087    0.000    0.839    0.000 C:\Users\joost\Documents\GitHub\bep\Implementation\ZhouClass\QAOA.py:15(objective)
   231000    0.086    0.000    0.255    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\register.py:132(__iter__)
   252276    0.082    0.000    0.123    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagnode.py:104(__hash__)
    20900    0.081    0.000    0.447    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:2198(_signature_from_callable)
    83445    0.080    0.000    0.080    0.000 {built-in method numpy.array}
    48400    0.079    0.000    0.195    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagnode.py:34(__init__)
    20900    0.079    0.000    0.795    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\basepasses.py:35(_freeze_init_parameters)
    61206    0.076    0.000    0.309    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:640(_check_qargs)
     1100    0.074    0.000    0.074    0.000 {built-in method nt.stat}
