Tue Jun  9 19:23:24 2020    QAOA-profile-p4

         118850644 function calls (118296919 primitive calls) in 96.043 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8070   17.297    0.002   17.297    0.002 {method 'acquire' of '_thread.lock' objects}
     8026    4.128    0.001   18.048    0.002 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\passes\optimization\optimize_1q_gates.py:47(run)
   264820    3.877    0.000    9.012    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:292(apply_operation_back)
 17596060    2.042    0.000    2.137    0.000 {built-in method builtins.isinstance}
    16052    1.831    0.000    5.247    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:1237(collect_runs)
   312962    1.786    0.000    1.786    0.000 {method 'round' of 'numpy.ndarray' objects}
  1059280    1.771    0.000    4.824    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\copy.py:66(copy)
   216666    1.578    0.000    1.578    0.000 {method 'round' of 'numpy.generic' objects}
    67284    1.339    0.000    2.078    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\networkx\convert_matrix.py:980(to_numpy_array)
   962964    1.314    0.000    3.132    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:53(__init__)
  1813618    1.302    0.000    1.881    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\register.py:106(__getitem__)
   954938    1.181    0.000    4.633    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\gate.py:28(__init__)
   529640    1.138    0.000    6.815    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:549(_append)
   962964    1.123    0.000    1.638    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:137(params)
    20065    1.094    0.000    1.262    0.000 {lexicographical_topological_sort}
  2134612    1.052    0.000    2.802    0.000 {built-in method builtins.all}
   252781    1.001    0.000    9.949    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:524(append)
1135212/605584    0.946    0.000    7.172    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  2006210    0.851    0.000    2.476    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\register.py:132(__iter__)
  2431498    0.822    0.000    1.225    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagnode.py:104(__hash__)
   529640    0.803    0.000    1.603    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\copy.py:269(_reconstruct)
   529640    0.799    0.000    2.920    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:640(_check_qargs)
  2209427    0.755    0.000    0.755    0.000 {built-in method builtins.getattr}
   529640    0.666    0.000    0.913    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:634(_check_dups)
   312962    0.633    0.000    2.932    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\numpy\core\fromnumeric.py:42(_wrapit)
   329028    0.627    0.000    1.669    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagnode.py:34(__init__)
  1636172    0.598    0.000    0.598    0.000 {built-in method builtins.hasattr}
  1324098    0.596    0.000    1.101    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:644(<genexpr>)
