,angles,backend,distribution,energy,graph,iterations,max-cut objective,noise,optimizer,p,solution,solution objective,time
0,"[0.02521268 0.60550293 0.24016284 1.53000106 2.21154039 5.82139312
 2.77719084 5.99891776]",Aer_qasm_simulator,"{'10111': 1, '01000': 1, '00100': 477, '01101': 475, '10101': 470, '01011': 407, '10001': 427, '00010': 1, '10011': 412, '11010': 445, '11011': 452, '10000': 1, '00110': 428, '00000': 5, '00101': 416, '01001': 468, '11110': 1, '01111': 1, '11001': 448, '11000': 11, '11101': 4, '00111': 4, '10010': 420, '00001': 1, '01100': 414, '11100': 10, '01010': 468, '10100': 444, '10110': 442, '01110': 441, '00011': 5}",-0.99043423446125,butterfly,1000.0,-3.99043423446125,?,NELDER_MEAD,4.0,[1 1 0 1 1],4.0,46.836811542510986
1,"[ 0.68608802  1.46064244  0.26118714  0.07630218  2.34060403 -0.17781654
  3.13323231  3.00651206]",Aer_qasm_simulator,"{'10111': 3, '01000': 1, '00100': 492, '01101': 467, '10101': 512, '01011': 460, '10001': 459, '00010': 1, '10011': 414, '11010': 412, '11011': 423, '10000': 3, '00110': 416, '00000': 6, '00101': 435, '01001': 396, '11110': 2, '11001': 446, '11000': 6, '11101': 2, '00111': 6, '10010': 443, '11111': 4, '01100': 443, '11100': 4, '01010': 418, '10100': 417, '10110': 455, '01110': 448, '00011': 6}",-0.99012251944658,butterfly,1000.0,-3.99012251944658,?,NELDER_MEAD,4.0,[0 1 0 1 0],4.0,46.93143272399902
2,"[ 1.51830245  4.4945064   1.27818438 -0.74256625  3.75298803  0.08004864
  1.69351437  6.41271345]",Aer_qasm_simulator,"{'00100': 350, '01101': 470, '10101': 462, '01011': 468, '10001': 395, '00010': 1, '10011': 490, '11010': 492, '11011': 374, '00110': 490, '00101': 479, '01001': 435, '11001': 421, '11000': 6, '00111': 4, '10010': 447, '01100': 461, '11100': 1, '01010': 414, '10100': 424, '10110': 456, '01110': 458, '00011': 2}",-0.99724412407632,butterfly,1001.0,-3.99724412407632,?,NELDER_MEAD,4.0,[1 0 1 0 0],4.0,46.444496631622314
3,"[ 0.60111507  1.35875783 -0.01668441  1.76772046  2.13440601  2.4980391
  3.30335392  6.09354999]",Aer_qasm_simulator,"{'00100': 604, '01101': 409, '10101': 440, '01011': 424, '10001': 439, '10011': 394, '11010': 393, '11011': 560, '00110': 412, '00101': 401, '01001': 460, '11001': 410, '11000': 1, '00111': 1, '10010': 438, '01100': 426, '01010': 456, '10100': 440, '10110': 443, '01110': 449}",-0.99992565620979,butterfly,1000.0,-3.99992565620979,?,NELDER_MEAD,4.0,[1 1 0 1 1],4.0,46.67020893096924
4,"[1.59456419 1.71484023 2.09752735 0.50860803 4.8399347  4.72590866
 5.25943633 3.46872485]",Aer_qasm_simulator,"{'00100': 750, '01101': 689, '10101': 672, '01011': 124, '10001': 696, '10011': 145, '11010': 126, '11011': 720, '00110': 97, '00101': 104, '01001': 737, '11001': 120, '10010': 723, '01100': 92, '01010': 693, '10100': 124, '10110': 655, '01110': 733}",-0.99999999986609,butterfly,591.0,-3.9999999998660902,?,NELDER_MEAD,4.0,[1 1 0 1 1],4.0,27.571505784988403
5,"[0.69772254 3.67460863 0.73276145 0.49774887 2.87617873 5.91724943
 4.31563908 2.8277182 ]",Aer_qasm_simulator,"{'00100': 382, '01101': 474, '10101': 439, '01011': 464, '10001': 461, '10011': 473, '11010': 482, '11011': 338, '00110': 452, '00101': 479, '01001': 428, '11001': 426, '10010': 442, '01100': 415, '01010': 436, '10100': 455, '10110': 475, '01110': 479}",-0.99999999198215,butterfly,1000.0,-3.99999999198215,?,NELDER_MEAD,4.0,[1 0 1 0 0],4.0,49.17710781097412
6,"[0.78253367 1.46464693 0.76214771 1.74374263 1.88769145 1.39269591
 1.65725584 2.7480131 ]",Aer_qasm_simulator,"{'00100': 632, '01101': 461, '10101': 448, '01011': 405, '10001': 481, '10011': 369, '11010': 376, '11011': 695, '00110': 349, '00101': 380, '01001': 493, '11001': 357, '10010': 454, '01100': 356, '01010': 476, '10100': 381, '10110': 431, '01110': 456}",-0.99999999930629,butterfly,638.0,-3.99999999930629,?,NELDER_MEAD,4.0,[0 0 1 0 0],4.0,28.742340803146362
7,"[1.22091954 0.67039613 1.09783936 2.28711748 0.34989997 3.23212888
 5.8098205  0.87525239]",Aer_qasm_simulator,"{'00100': 92, '01101': 620, '10101': 653, '01011': 339, '10001': 642, '10011': 322, '11010': 330, '11011': 85, '00110': 337, '00101': 339, '01001': 635, '11001': 351, '10010': 646, '01100': 331, '01010': 656, '10100': 359, '10110': 631, '01110': 632}",-0.99999979683141,butterfly,1000.0,-3.99999979683141,?,NELDER_MEAD,4.0,[1 0 1 0 1],4.0,45.03983998298645
8,"[0.91644352 0.01764016 4.00023954 3.62911057 6.10342248 2.91256991
 0.33339314 0.02010028]",Aer_qasm_simulator,"{'01000': 5, '00100': 371, '01101': 461, '10011': 432, '11011': 391, '10000': 1, '00110': 419, '00101': 445, '01111': 1, '11000': 10, '11101': 1, '00111': 11, '01100': 445, '00001': 2, '11111': 2, '10110': 445, '10111': 4, '10101': 458, '01011': 457, '10001': 457, '00010': 1, '11010': 466, '00000': 1, '01001': 449, '11110': 2, '11001': 381, '10010': 465, '11100': 13, '01010': 502, '10100': 431, '01110': 457, '00011': 14}",-0.9820104518871,butterfly,1000.0,-3.9820104518871,?,NELDER_MEAD,4.0,[1 0 1 0 1],4.0,40.96394419670105
9,"[2.86452883 1.73199525 0.8794237  1.8313115  4.9654113  6.14274835
 1.75205988 5.50991404]",Aer_qasm_simulator,"{'00100': 532, '01101': 679, '10101': 662, '01011': 193, '10001': 659, '00010': 1, '10011': 195, '11010': 199, '11011': 522, '10000': 1, '00110': 196, '00000': 2, '00101': 189, '01001': 646, '01111': 2, '11001': 228, '11000': 29, '11101': 2, '00111': 31, '10010': 664, '11111': 3, '01100': 178, '11100': 22, '01010': 661, '10100': 196, '10110': 637, '01110': 643, '00011': 28}",-0.96749970474987,butterfly,1001.0,-3.96749970474987,?,NELDER_MEAD,4.0,[0 1 0 0 1],4.0,37.609898805618286
