,angles,backend,distribution,energy,graph,iterations,max-cut objective,noise,optimizer,p,solution,solution objective,time
0,[1.17382619 2.46819047],qasm_simulator,"{'01000': 2, '00100': 443, '01101': 569, '10011': 557, '11011': 469, '10000': 4, '00110': 552, '00101': 519, '01111': 4, '11000': 30, '00111': 38, '11101': 2, '01100': 585, '11111': 51, '00001': 3, '10110': 566, '10111': 7, '10101': 541, '01011': 544, '10001': 556, '00010': 2, '11010': 572, '00000': 33, '01001': 577, '11110': 5, '11001': 559, '10010': 552, '11100': 26, '01010': 534, '10100': 527, '01110': 530, '00011': 41}",-0.9408000000000001,butterfly,1001.0,-3.9408000000000003,no,NELDER_MEAD,1.0,[1 1 0 0 1],4.0,78.02338004112244
1,[0.38258939 0.15377774],qasm_simulator,"{'01000': 377, '00100': 267, '01101': 278, '10011': 252, '11011': 281, '10000': 332, '00110': 291, '00101': 299, '01111': 392, '11000': 329, '00111': 343, '11101': 364, '01100': 273, '11111': 419, '00001': 345, '10110': 270, '10111': 349, '10101': 268, '01011': 280, '10001': 270, '00010': 324, '11010': 297, '00000': 428, '01001': 295, '11110': 344, '11001': 274, '10010': 266, '11100': 310, '01010': 269, '10100': 282, '01110': 295, '00011': 337}",0.1262,butterfly,1001.0,-2.8738,no,NELDER_MEAD,1.0,[1 1 1 1 1],0.0,74.24084949493408
2,[0.01880615 2.10229175],qasm_simulator,"{'01000': 321, '00100': 311, '01101': 330, '10011': 334, '11011': 331, '10000': 294, '00110': 343, '00101': 321, '01111': 337, '11000': 300, '11101': 333, '00111': 289, '01100': 309, '00001': 281, '11111': 288, '10110': 302, '10111': 311, '10101': 323, '01011': 337, '10001': 310, '00010': 306, '11010': 311, '00000': 286, '01001': 306, '11110': 281, '11001': 338, '10010': 306, '11100': 311, '01010': 333, '10100': 327, '01110': 288, '00011': 302}",-0.062200000000000005,butterfly,1000.0,-3.0622,no,NELDER_MEAD,1.0,[1 0 0 1 1],4.0,74.34604620933533
3,[1.15656518 2.46769202],qasm_simulator,"{'01000': 3, '00100': 449, '01101': 503, '10011': 570, '11011': 469, '10000': 1, '00110': 553, '00101': 557, '01111': 2, '11000': 55, '11101': 4, '00111': 48, '01100': 530, '11111': 29, '00001': 3, '10110': 571, '10111': 3, '10101': 574, '01011': 545, '10001': 569, '00010': 6, '11010': 553, '00000': 46, '01001': 531, '11110': 1, '11001': 526, '10010': 517, '11100': 38, '01010': 562, '10100': 570, '01110': 566, '00011': 46}",-0.9448,butterfly,1000.0,-3.9448,no,NELDER_MEAD,1.0,[0 1 0 1 0],4.0,74.32633209228516
4,[0.40110531 5.62370472],qasm_simulator,"{'01000': 158, '00100': 382, '01101': 431, '10011': 469, '11011': 399, '10000': 181, '00110': 425, '00101': 420, '01111': 199, '11000': 197, '11101': 174, '00111': 178, '01100': 471, '00001': 186, '11111': 60, '10110': 414, '10111': 163, '10101': 429, '01011': 421, '10001': 430, '00010': 213, '11010': 452, '00000': 57, '01001': 427, '11110': 187, '11001': 439, '10010': 394, '11100': 203, '01010': 386, '10100': 418, '01110': 429, '00011': 208}",-0.5436,butterfly,1003.0,-3.5436,no,NELDER_MEAD,1.0,[1 1 0 0 1],4.0,71.12202548980713
5,[1.15581209 5.61147677],qasm_simulator,"{'01000': 2, '00100': 421, '01101': 535, '10011': 584, '11011': 451, '10000': 6, '00110': 559, '00101': 541, '01111': 5, '11000': 43, '00111': 41, '11101': 3, '01100': 550, '11111': 38, '00001': 3, '10110': 556, '10111': 6, '10101': 568, '01011': 543, '10001': 529, '00010': 4, '11010': 528, '00000': 43, '01001': 524, '11110': 4, '11001': 525, '10010': 558, '11100': 45, '01010': 574, '10100': 595, '01110': 572, '00011': 44}",-0.9403999999999999,butterfly,1001.0,-3.9404,no,NELDER_MEAD,1.0,[1 1 0 1 0],4.0,72.15649366378784
6,[0.28126864 2.27019319],qasm_simulator,"{'01000': 221, '00100': 392, '01101': 390, '10011': 391, '11011': 402, '10000': 214, '00110': 406, '00101': 419, '01111': 226, '11000': 216, '11101': 213, '00111': 235, '01100': 435, '00001': 216, '11111': 119, '10110': 405, '10111': 234, '10101': 417, '01011': 378, '10001': 377, '00010': 222, '11010': 364, '00000': 114, '01001': 401, '11110': 239, '11001': 385, '10010': 373, '11100': 231, '01010': 394, '10100': 395, '01110': 359, '00011': 217}",-0.40340000000000004,butterfly,1001.0,-3.4034,no,NELDER_MEAD,1.0,[1 1 0 0 1],4.0,74.65309834480286
7,[0.72312002 0.14789489],qasm_simulator,"{'01000': 378, '00100': 279, '01101': 250, '10011': 217, '11011': 255, '10000': 348, '00110': 240, '00101': 247, '01111': 385, '00111': 363, '11000': 357, '11101': 367, '01100': 245, '11111': 548, '00001': 369, '10110': 233, '10111': 366, '10101': 244, '01011': 269, '10001': 261, '00010': 374, '11010': 274, '00000': 532, '01001': 236, '11110': 398, '11001': 245, '10010': 210, '11100': 374, '01010': 245, '10100': 268, '01110': 272, '00011': 351}",0.247,butterfly,1001.0,-2.753,no,NELDER_MEAD,1.0,[0 0 0 0 0],0.0,73.16088819503784
8,[5.0866646  3.78748318],qasm_simulator,"{'10111': 3, '00100': 417, '01101': 558, '10101': 542, '01011': 554, '10001': 560, '00010': 3, '10011': 551, '11011': 436, '11010': 568, '10000': 1, '00110': 582, '00101': 569, '00000': 51, '01001': 553, '11110': 2, '01111': 2, '11001': 574, '11000': 36, '00111': 43, '11101': 1, '01100': 564, '10010': 527, '11111': 47, '11100': 36, '01010': 562, '10100': 547, '10110': 531, '01110': 545, '00011': 35}",-0.9436000000000001,butterfly,1003.0,-3.9436,no,NELDER_MEAD,1.0,[1 0 0 1 1],4.0,72.42311406135559
9,[1.18193697 2.50431745],qasm_simulator,"{'10111': 1, '01000': 2, '00100': 412, '01101': 523, '10101': 558, '01011': 553, '10001': 560, '10011': 586, '11011': 427, '11010': 563, '00110': 560, '00101': 567, '00000': 44, '01001': 570, '11110': 2, '01111': 3, '11001': 548, '11000': 37, '00111': 45, '11101': 2, '01100': 567, '10010': 553, '11111': 38, '11100': 34, '01010': 555, '10100': 567, '00001': 1, '10110': 542, '01110': 543, '00011': 37}",-0.942,butterfly,1000.0,-3.942,no,NELDER_MEAD,1.0,[0 0 1 1 0],4.0,71.7507119178772
