,angles,backend,distribution,energy,graph,iterations,max-cut objective,noise,optimizer,p,solution,solution objective,time,topology
0,"[1.09118962 2.78885075 0.51982511 2.03456302 2.67854894 4.19436673
 1.78256107 4.77406011 6.52702539 1.96203019]",qasm_simulator,"{'01110': 455, '00110': 475, '00100': 506, '11010': 425, '10011': 446, '00101': 447, '01010': 422, '01100': 447, '11011': 490, '10001': 443, '10101': 449, '01001': 478, '10010': 430, '01101': 413, '11001': 471, '10110': 470, '01011': 465, '10100': 460}",-0.99999999942524,butterfly,528.0,-3.99999999942524,0.0,NELDER_MEAD,5.0,[1 1 0 1 1],4.0,17.653968334197998,0.0
1,"[0.71648302 2.76386748 0.07639948 3.23075301 1.43839307 3.62834851
 4.51247831 0.4161349  1.63791311 5.46306377]",qasm_simulator,"{'01110': 510, '00110': 246, '00100': 1040, '11010': 258, '10011': 265, '00101': 246, '01010': 547, '01100': 280, '11011': 938, '10001': 512, '10101': 526, '01001': 506, '10010': 526, '01101': 507, '11001': 235, '10110': 508, '01011': 276, '10100': 266}",-0.99992361374767,butterfly,1000.0,-3.99992361374767,0.0,NELDER_MEAD,5.0,[1 1 0 1 1],4.0,33.0961172580719,0.0
2,"[3.40535314 0.40083178 1.53673019 1.2459096  1.12645912 6.06346034
 3.23998743 3.60327489 3.00755962 6.01932424]",qasm_simulator,"{'01110': 505, '00110': 490, '00100': 426, '11010': 447, '11101': 1, '10011': 452, '00101': 527, '01010': 439, '01100': 465, '11100': 3, '00111': 3, '11011': 386, '10001': 424, '10101': 429, '10000': 4, '01001': 423, '01111': 3, '10010': 452, '01000': 1, '00010': 1, '01101': 433, '11001': 442, '00001': 2, '10110': 513, '01011': 465, '10100': 448, '00000': 2, '00011': 3, '11000': 3}",-0.99354466337951,butterfly,1000.0,-3.99354466337951,0.0,NELDER_MEAD,5.0,[0 1 0 1 1],4.0,33.15258598327637,0.0
3,"[2.87387865 0.68541748 2.86950299 2.08946632 0.59156146 6.57034753
 5.58347507 4.77669192 2.42207782 3.45171762]",qasm_simulator,"{'01110': 692, '00110': 166, '00100': 522, '11010': 178, '10011': 164, '00101': 171, '01010': 736, '01100': 160, '11011': 527, '10001': 749, '10101': 761, '01001': 729, '10010': 689, '01101': 685, '11001': 147, '10110': 758, '01011': 192, '10100': 166}",-0.99999999980601,butterfly,569.0,-3.99999999980601,0.0,NELDER_MEAD,5.0,[0 1 0 1 0],4.0,18.86962056159973,0.0
4,"[1.79883507 4.3938331  0.16913784 1.54211756 0.27749129 4.33334581
 1.7487896  4.85359449 4.075219   3.59842393]",qasm_simulator,"{'01110': 273, '00110': 660, '00100': 403, '11010': 654, '10011': 668, '00101': 618, '01010': 273, '01100': 665, '11011': 394, '10001': 247, '10101': 289, '01001': 258, '10010': 274, '01101': 265, '11001': 637, '10110': 282, '01011': 675, '10100': 657}",-0.99987705145227,butterfly,1001.0,-3.99987705145227,0.0,NELDER_MEAD,5.0,[0 0 1 0 1],4.0,33.05620765686035,0.0
5,"[4.83430382 0.76427412 1.47244963 1.01908794 0.82972539 6.98348586
 5.32893853 4.44545526 0.61457341 5.36658029]",qasm_simulator,"{'01110': 499, '00110': 303, '00100': 823, '11010': 353, '10011': 324, '00101': 311, '01010': 487, '01100': 306, '11011': 801, '10001': 455, '10101': 524, '01001': 500, '10010': 541, '01101': 503, '11001': 314, '10110': 504, '01011': 319, '10100': 325}",-0.99999999989627,butterfly,1000.0,-3.99999999989627,0.0,NELDER_MEAD,5.0,[1 1 0 1 1],4.0,33.16438150405884,0.0
6,"[1.0140584  1.27873169 1.14440375 2.77711352 2.66144751 1.6631394
 4.58447498 2.02446644 6.28163316 0.355291  ]",qasm_simulator,"{'01110': 473, '00110': 366, '00100': 498, '11010': 366, '10011': 352, '00101': 367, '01010': 491, '01100': 441, '11011': 489, '10001': 544, '10101': 553, '01001': 510, '10010': 521, '01101': 544, '11001': 351, '10110': 490, '01011': 430, '10100': 406}",-0.99999999999561,butterfly,907.0,-3.9999999999956097,0.0,NELDER_MEAD,5.0,[0 1 0 1 0],4.0,30.124752283096313,0.0
7,"[1.53438599 1.70027531 1.95377416 1.88506718 2.47640816 1.7105465
 4.74837404 2.46355713 3.28153508 3.22078486]",qasm_simulator,"{'01110': 668, '00110': 198, '00100': 665, '11010': 172, '10011': 166, '00101': 183, '01010': 737, '01100': 174, '11011': 678, '10001': 695, '10101': 690, '01001': 683, '10010': 684, '01101': 660, '11001': 149, '10110': 664, '01011': 170, '10100': 156}",-0.9999999998335,butterfly,571.0,-3.9999999998335,0.0,NELDER_MEAD,5.0,[1 0 1 0 1],4.0,18.787896394729614,0.0
8,"[3.46081548 1.51755098 0.62404669 0.64546453 3.41647517 0.11125602
 5.61677937 1.50215469 0.16150598 0.26652796]",qasm_simulator,"{'01110': 466, '00110': 440, '00100': 534, '11010': 421, '10011': 421, '00101': 440, '01010': 493, '01100': 463, '11011': 503, '10001': 488, '10101': 433, '01001': 438, '10010': 453, '01101': 445, '11001': 442, '10110': 469, '01011': 397, '10100': 446}",-0.99999999830749,butterfly,1000.0,-3.99999999830749,0.0,NELDER_MEAD,5.0,[1 1 0 1 1],4.0,33.36053514480591,0.0
9,"[1.30084051 1.33428108 0.52848631 2.96933603 1.88878599 5.12732443
 2.74181669 5.25254315 5.88291169 0.46474004]",qasm_simulator,"{'01110': 304, '00110': 711, '00100': 74, '11010': 677, '10011': 714, '00101': 670, '01010': 349, '01100': 722, '11011': 89, '10001': 301, '10101': 324, '01001': 302, '10010': 310, '01101': 335, '11001': 680, '10110': 285, '01011': 669, '10100': 676}",-0.99999999953314,butterfly,779.0,-3.99999999953314,0.0,NELDER_MEAD,5.0,[1 1 0 0 1],4.0,25.98767399787903,0.0
