,angles,backend,distribution,energy,graph,iterations,max-cut objective,noise,optimizer,p,solution,solution objective,time,topology
0,[1.04454875 3.26534606 1.77310482 3.50042835 4.61605952 5.983943  ],qasm_simulator,"{'1110': 404, '0110': 548, '0100': 384, '0101': 2010, '1010': 2075, '1100': 563, '0111': 61, '1001': 522, '1111': 27, '1000': 56, '0010': 53, '1101': 47, '0001': 432, '1011': 407, '0000': 29, '0011': 574}",-0.95566725447053,diamond,519.0,-3.45566725447053,0.0,NELDER_MEAD,3.0,[1 0 1 0],4.0,13.626917123794556,0.0
1,[0.10024377 1.16200684 2.21521156 1.93260423 2.35012296 5.82939512],qasm_simulator,"{'1110': 480, '0110': 487, '0100': 478, '0101': 2043, '1010': 2067, '1100': 477, '0111': 42, '1001': 535, '1111': 28, '1000': 42, '0010': 28, '1101': 51, '0001': 457, '1011': 471, '0000': 30, '0011': 476}",-0.95975978961859,diamond,1000.0,-3.45975978961859,0.0,NELDER_MEAD,3.0,[1 0 1 0],4.0,26.407421588897705,0.0
2,[1.32012637 2.8879085  2.3917513  5.62089552 5.42617341 2.29174355],qasm_simulator,"{'0010': 5, '1101': 5, '0110': 11, '0001': 4, '0100': 1, '0101': 4084, '1010': 4024, '1100': 18, '0111': 3, '1011': 5, '1001': 14, '1111': 1, '0011': 15, '1000': 2}",-1.48695492547044,diamond,760.0,-3.9869549254704397,0.0,NELDER_MEAD,3.0,[0 1 0 1],4.0,19.618338584899902,0.0
3,[ 4.63407459 -3.86185925  4.06080856  3.84066086  0.80747505  7.77501061],qasm_simulator,"{'1110': 20, '0110': 430, '0100': 20, '0101': 3156, '1010': 3030, '1100': 429, '0111': 29, '1001': 441, '1111': 31, '1000': 33, '0010': 19, '1101': 22, '0001': 22, '1011': 17, '0000': 40, '0011': 453}",-1.21842621518509,diamond,1000.0,-3.71842621518509,0.0,NELDER_MEAD,3.0,[0 1 0 1],4.0,25.859374284744263,0.0
4,[2.46440507 3.59919919 1.81310823 1.29738399 1.29507055 0.41938345],qasm_simulator,"{'1110': 308, '0110': 785, '0100': 263, '0101': 2023, '1010': 1919, '1100': 737, '0111': 2, '1001': 753, '1111': 1, '1000': 4, '0010': 2, '1101': 5, '0001': 287, '1011': 280, '0000': 2, '0011': 821}",-0.9665356935935,diamond,1000.0,-3.4665356935935,0.0,NELDER_MEAD,3.0,[0 1 0 1],4.0,27.3250629901886,0.0
5,[ 1.66879602  0.13163292  3.45146372 -1.63003366  5.62592734  4.63890994],qasm_simulator,"{'0010': 12, '1101': 17, '0110': 782, '1110': 270, '0001': 291, '0100': 254, '0101': 1908, '1010': 1987, '1100': 777, '0111': 19, '1011': 293, '1001': 756, '0000': 5, '0011': 808, '1000': 13}",-0.9572643676998,diamond,1000.0,-3.4572643676998,0.0,NELDER_MEAD,3.0,[1 0 1 0],4.0,25.93924856185913,0.0
6,[ 1.68070869  0.3530609   3.19023988 -2.02737144  2.84609557  4.63506725],qasm_simulator,"{'1110': 282, '0110': 802, '0100': 264, '0101': 1929, '1010': 1991, '1100': 755, '0111': 28, '1001': 771, '1111': 9, '1000': 21, '0010': 17, '1101': 18, '0001': 234, '1011': 271, '0000': 7, '0011': 793}",-0.95948329410404,diamond,1001.0,-3.45948329410404,0.0,NELDER_MEAD,3.0,[1 0 1 0],4.0,25.26842761039734,0.0
7,[1.04452124 3.26542184 1.77326779 0.35883735 1.47442928 2.8423669 ],qasm_simulator,"{'1110': 423, '0110': 542, '0100': 416, '0101': 2036, '1010': 2092, '1100': 531, '0111': 60, '1001': 554, '1111': 24, '1000': 55, '0010': 62, '1101': 52, '0001': 384, '1011': 396, '0000': 10, '0011': 555}",-0.95566725447176,diamond,847.0,-3.45566725447176,0.0,NELDER_MEAD,3.0,[1 0 1 0],4.0,21.62538504600525,0.0
8,[2.33170867 0.42814902 1.61267359 3.8467058  1.31861465 5.18757744],qasm_simulator,"{'0010': 3, '1101': 3, '0110': 730, '1110': 134, '0001': 158, '0100': 174, '0101': 2258, '1010': 2236, '1100': 747, '0111': 5, '1011': 151, '1001': 752, '0000': 48, '1111': 43, '0011': 750}",-1.012412665059,diamond,1000.0,-3.512412665059,0.0,NELDER_MEAD,3.0,[0 1 0 1],4.0,25.37062931060791,0.0
9,[1.32014152 2.88789527 2.3917926  2.47931862 5.4262233  2.29173059],qasm_simulator,"{'0010': 2, '1101': 5, '0110': 15, '1110': 5, '0001': 2, '0100': 2, '0101': 4058, '1010': 4042, '1100': 18, '0111': 7, '1011': 4, '1001': 11, '0011': 19, '1000': 2}",-1.48695492487694,diamond,880.0,-3.9869549248769403,0.0,NELDER_MEAD,3.0,[0 1 0 1],4.0,22.533838033676147,0.0
