,angles,backend,distribution,energy,graph_atlas index,iterations,max-cut objective,noise,optimizer,optimum,p,solution,solution objective,time,topology
0,[ 3.14157763 -0.78539815],qasm_simulator,"{'01': 46, '10': 54}",-0.4999999999859,3.0,,-0.9999999999859,0.0,SPSA,1.0,1.0,[1 0],1.0,6.014073371887207,0.0
1,[ 4.01836563 -2.96820127  8.65974344 12.34593616],qasm_simulator,"{'01': 53, '10': 47}",-0.49999987131843,3.0,,-0.9999998713184299,0.0,SPSA,1.0,2.0,[0 1],1.0,8.08139181137085,0.0
2,[24.47631809  5.65324362  3.31969277 14.45305743  8.20983184 10.12340236],qasm_simulator,"{'01': 49, '10': 51}",-0.49999843890779,3.0,,-0.99999843890779,0.0,SPSA,1.0,3.0,[1 0],1.0,10.215672016143799,0.0
3,[  3.14159265 -19.63495408],qasm_simulator,"{'010': 35, '101': 16, '011': 17, '100': 32}",-0.5,5.0,,-1.0,0.0,SPSA,1.0,1.0,[1 0 1],1.0,5.93388819694519,0.0
4,[ 31.53838855 -47.20186812  47.59924814 -55.78807406],qasm_simulator,"{'010': 25, '101': 23, '011': 19, '100': 33}",-0.49999714247452,5.0,,-0.99999714247452,0.0,SPSA,1.0,2.0,[1 1 0],1.0,8.036874532699585,0.0
5,"[-591.41072683  230.426711   -498.5230009  -965.60390488  751.1729092
  227.26694022]",qasm_simulator,"{'010': 29, '101': 21, '011': 27, '100': 23}",-0.49614325328229,5.0,,-0.99614325328229,0.0,SPSA,1.0,3.0,[1 0 1],1.0,10.75248646736145,0.0
6,[1036.75193202  791.29748177],qasm_simulator,"{'000': 13, '111': 14, '001': 13, '101': 10, '011': 10, '100': 14, '010': 11, '110': 15}",3.9734026e-07,6.0,,-0.99999960265974,0.0,SPSA,2.0,1.0,[1 0 0],2.0,7.423332214355469,0.0
7,[-403.33071191 -791.47248783  187.84565273  946.04997278],qasm_simulator,"{'000': 26, '111': 18, '001': 4, '101': 11, '011': 11, '100': 13, '010': 15, '110': 2}",0.26969311156866,6.0,,-0.73030688843134,0.0,SPSA,2.0,2.0,[1 1 1],0.0,10.784131288528442,0.0
8,"[ 779.43864299 1003.25508856   49.77592568 -520.98846078 -481.95290755
 -739.49464602]",qasm_simulator,"{'100': 9, '001': 21, '010': 17, '110': 25, '101': 13, '011': 15}",-0.41316432192908,6.0,,-1.41316432192908,0.0,SPSA,2.0,3.0,[1 0 0],2.0,13.384230852127075,0.0
9,[-1412.39167918   713.56282554],qasm_simulator,"{'000': 32, '111': 31, '001': 6, '101': 6, '011': 7, '100': 6, '010': 8, '110': 4}",0.6378594661956,7.0,,-0.8621405338044,0.0,SPSA,2.0,1.0,[1 1 1],0.0,6.8897600173950195,0.0
10,[-347.01436628 1020.33735905 -268.77726147 -920.58949354],qasm_simulator,"{'000': 24, '111': 15, '001': 6, '101': 14, '011': 10, '100': 10, '010': 10, '110': 11}",0.4841034754117,7.0,,-1.0158965245883,0.0,SPSA,2.0,2.0,[1 1 1],0.0,9.674755334854126,0.0
11,"[ -240.9974371   -376.550089      56.69330851   328.06177472
 -1133.21190173   335.24286351]",qasm_simulator,"{'000': 28, '111': 45, '001': 5, '101': 4, '011': 6, '100': 4, '010': 2, '110': 6}",0.85821293290501,7.0,,-0.64178706709499,0.0,SPSA,2.0,3.0,[0 0 0],0.0,13.501681327819824,0.0
12,[275.83034657  26.55908482],qasm_simulator,"{'0111': 8, '1000': 10, '0001': 3, '0011': 7, '1001': 5, '1101': 5, '0100': 8, '0010': 8, '0110': 5, '0000': 7, '1010': 9, '1110': 6, '1111': 1, '0101': 2, '1011': 7, '1100': 9}",-0.0441207811353,9.0,,-0.5441207811353,0.0,SPSA,1.0,1.0,[1 1 1 0],1.0,7.144302845001221,0.0
13,[ 544.52933694 -295.75945583 -426.49960299 -268.99453537],qasm_simulator,"{'0000': 3, '0111': 10, '1000': 10, '1010': 11, '1110': 3, '0001': 2, '0101': 12, '0011': 2, '1001': 10, '1011': 13, '0100': 8, '0010': 2, '0110': 14}",-0.36499891040465,9.0,,-0.86499891040465,0.0,SPSA,1.0,2.0,[1 0 0 1],1.0,8.758123874664307,0.0
14,"[-464.92575941  -61.78367072 -478.72047762  257.38174238  663.8071772
 -482.23067241]",qasm_simulator,"{'0111': 7, '1000': 13, '0001': 6, '0011': 1, '1001': 5, '1101': 3, '0100': 6, '0010': 2, '0110': 16, '0000': 5, '1010': 10, '1110': 1, '1111': 5, '0101': 9, '1011': 7, '1100': 4}",-0.24386534092678,9.0,,-0.74386534092678,0.0,SPSA,1.0,3.0,[1 0 0 1],1.0,11.076502323150635,0.0
