,angles,backend,distribution,energy,graph,iterations,max-cut objective,noise,optimizer,p,solution,solution objective,time
0,"(array([1.89011148]), array([3.73443687]))",qvm,"Counter({(1, 0, 1, 0, 1): 503, (0, 1, 0, 1, 0): 497, (0, 0, 1, 0, 1): 472, (1, 1, 0, 1, 0): 472, (0, 1, 1, 0, 0): 471, (1, 0, 1, 0, 0): 465, (1, 0, 0, 1, 1): 464, (0, 0, 1, 1, 0): 459, (1, 0, 1, 1, 0): 450, (0, 1, 1, 0, 1): 450, (1, 0, 0, 0, 1): 449, (1, 0, 0, 1, 0): 445, (0, 1, 0, 1, 1): 442, (0, 1, 1, 1, 0): 436, (1, 1, 0, 0, 1): 435, (0, 1, 0, 0, 1): 425, (0, 0, 1, 0, 0): 343, (1, 1, 0, 1, 1): 325, (1, 1, 1, 0, 0): 40, (1, 1, 1, 1, 1): 35, (1, 1, 0, 0, 0): 31, (0, 0, 1, 1, 1): 30, (0, 0, 0, 1, 1): 29, (0, 0, 0, 0, 0): 22, (0, 1, 0, 0, 0): 1, (0, 0, 0, 1, 0): 1})",,butterfly,,,0.0,Nelder-Mead,1.0,"(1, 0, 1, 0, 1)",,
1,"(array([1.89150834]), array([3.7336591]))",qvm,"Counter({(0, 0, 1, 0, 1): 488, (1, 1, 0, 1, 0): 485, (1, 0, 1, 0, 0): 473, (0, 1, 0, 1, 1): 468, (1, 1, 0, 0, 1): 466, (1, 0, 0, 0, 1): 464, (0, 1, 0, 1, 0): 461, (1, 0, 0, 1, 1): 450, (0, 0, 1, 1, 0): 449, (1, 0, 0, 1, 0): 448, (1, 0, 1, 1, 0): 447, (0, 1, 1, 1, 0): 439, (0, 1, 1, 0, 0): 433, (1, 0, 1, 0, 1): 432, (0, 1, 0, 0, 1): 431, (0, 1, 1, 0, 1): 430, (1, 1, 0, 1, 1): 363, (0, 0, 1, 0, 0): 330, (0, 0, 0, 1, 1): 51, (1, 1, 1, 1, 1): 40, (0, 0, 1, 1, 1): 39, (1, 1, 0, 0, 0): 33, (1, 1, 1, 0, 0): 32, (0, 0, 0, 0, 0): 31, (1, 1, 1, 1, 0): 2, (0, 1, 1, 1, 1): 2, (1, 0, 1, 1, 1): 1, (0, 1, 0, 0, 0): 1, (1, 0, 0, 0, 0): 1, (1, 1, 1, 0, 1): 1, (0, 0, 0, 0, 1): 1})",,butterfly,,,0.0,Nelder-Mead,1.0,"(0, 0, 1, 0, 1)",,
2,"(array([0.32021152]), array([3.72808511]))",qvm,"Counter({(1, 1, 0, 1, 0): 477, (1, 0, 0, 0, 1): 475, (1, 0, 1, 0, 0): 473, (0, 0, 1, 1, 0): 471, (1, 0, 1, 1, 0): 465, (0, 0, 1, 0, 1): 465, (0, 1, 0, 1, 1): 465, (0, 1, 0, 0, 1): 464, (1, 0, 0, 1, 0): 458, (1, 1, 0, 0, 1): 458, (0, 1, 1, 1, 0): 457, (0, 1, 1, 0, 0): 451, (1, 0, 1, 0, 1): 438, (0, 1, 1, 0, 1): 431, (1, 0, 0, 1, 1): 414, (0, 1, 0, 1, 0): 414, (1, 1, 0, 1, 1): 358, (0, 0, 1, 0, 0): 340, (0, 0, 1, 1, 1): 42, (1, 1, 0, 0, 0): 39, (1, 1, 1, 0, 0): 34, (0, 0, 0, 1, 1): 32, (0, 0, 0, 0, 0): 31, (1, 1, 1, 1, 1): 29, (0, 1, 0, 0, 0): 3, (0, 0, 0, 1, 0): 2, (0, 0, 0, 0, 1): 2, (1, 0, 1, 1, 1): 2, (1, 1, 1, 1, 0): 1, (1, 1, 1, 0, 1): 1})",,butterfly,,,0.0,Nelder-Mead,1.0,"(1, 1, 0, 1, 0)",,
3,"(array([1.2489865]), array([2.55605238]))",qvm,"Counter({(1, 0, 0, 0, 1): 485, (0, 1, 0, 1, 0): 471, (1, 0, 1, 0, 1): 470, (1, 0, 1, 1, 0): 469, (1, 0, 0, 1, 1): 468, (0, 1, 1, 0, 1): 464, (0, 0, 1, 0, 1): 460, (1, 1, 0, 0, 1): 458, (1, 0, 0, 1, 0): 452, (1, 1, 0, 1, 0): 450, (0, 1, 1, 1, 0): 444, (0, 1, 1, 0, 0): 439, (1, 0, 1, 0, 0): 436, (0, 0, 1, 1, 0): 435, (0, 1, 0, 0, 1): 434, (0, 1, 0, 1, 1): 412, (0, 0, 1, 0, 0): 364, (1, 1, 0, 1, 1): 358, (0, 0, 0, 1, 1): 40, (1, 1, 0, 0, 0): 40, (0, 0, 0, 0, 0): 38, (1, 1, 1, 0, 0): 33, (1, 1, 1, 1, 1): 33, (0, 0, 1, 1, 1): 27, (1, 0, 1, 1, 1): 4, (0, 0, 0, 1, 0): 3, (1, 1, 1, 1, 0): 2, (0, 0, 0, 0, 1): 1, (0, 1, 1, 1, 1): 1, (1, 1, 1, 0, 1): 1})",,butterfly,,,0.0,Nelder-Mead,1.0,"(1, 0, 0, 0, 1)",,
4,"(array([1.25108527]), array([5.69340075]))",qvm,"Counter({(1, 1, 0, 1, 0): 480, (1, 0, 0, 1, 0): 480, (0, 1, 0, 1, 1): 472, (0, 1, 1, 0, 1): 471, (1, 0, 1, 0, 0): 470, (1, 0, 0, 1, 1): 464, (1, 0, 1, 1, 0): 453, (0, 1, 1, 0, 0): 447, (0, 1, 0, 1, 0): 445, (1, 0, 0, 0, 1): 444, (0, 0, 1, 1, 0): 433, (0, 1, 0, 0, 1): 430, (0, 1, 1, 1, 0): 428, (1, 1, 0, 0, 1): 427, (0, 0, 1, 0, 1): 420, (1, 0, 1, 0, 1): 408, (1, 1, 0, 1, 1): 407, (0, 0, 1, 0, 0): 377, (1, 1, 0, 0, 0): 51, (0, 0, 0, 1, 1): 43, (0, 0, 0, 0, 0): 38, (1, 1, 1, 0, 0): 38, (0, 0, 1, 1, 1): 30, (1, 1, 1, 1, 1): 27, (0, 1, 0, 0, 0): 2, (1, 1, 1, 0, 1): 2, (0, 1, 1, 1, 1): 2, (1, 1, 1, 1, 0): 1, (0, 0, 0, 1, 0): 1, (0, 0, 0, 0, 1): 1})",,butterfly,,,0.0,Nelder-Mead,1.0,"(1, 1, 0, 1, 0)",,
5,"(array([3.46114855]), array([0.5919731]))",qvm,"Counter({(1, 1, 0, 1, 0): 489, (0, 1, 0, 0, 1): 482, (1, 0, 1, 1, 0): 477, (1, 0, 0, 1, 0): 470, (0, 1, 1, 0, 0): 469, (0, 1, 0, 1, 1): 462, (1, 1, 0, 0, 1): 456, (1, 0, 1, 0, 1): 453, (0, 0, 1, 1, 0): 451, (1, 0, 0, 0, 1): 448, (0, 0, 1, 0, 1): 443, (0, 1, 1, 0, 1): 442, (0, 1, 1, 1, 0): 441, (0, 1, 0, 1, 0): 434, (1, 0, 0, 1, 1): 426, (1, 0, 1, 0, 0): 410, (0, 0, 1, 0, 0): 373, (1, 1, 0, 1, 1): 350, (0, 0, 0, 1, 1): 41, (1, 1, 1, 0, 0): 39, (0, 0, 1, 1, 1): 38, (1, 1, 0, 0, 0): 33, (1, 1, 1, 1, 1): 31, (0, 0, 0, 0, 0): 29, (1, 0, 0, 0, 0): 2, (0, 1, 0, 0, 0): 1, (0, 0, 0, 0, 1): 1, (1, 1, 1, 1, 0): 1})",,butterfly,,,0.0,Nelder-Mead,1.0,"(1, 1, 0, 1, 0)",,
6,"(array([1.25147066]), array([5.69296709]))",qvm,"Counter({(1, 0, 1, 0, 1): 484, (0, 1, 0, 0, 1): 483, (0, 1, 1, 0, 1): 482, (1, 0, 0, 0, 1): 470, (0, 1, 1, 0, 0): 468, (0, 0, 1, 0, 1): 467, (1, 1, 0, 0, 1): 455, (1, 0, 0, 1, 0): 451, (0, 1, 1, 1, 0): 451, (0, 0, 1, 1, 0): 450, (1, 1, 0, 1, 0): 449, (0, 1, 0, 1, 0): 449, (0, 1, 0, 1, 1): 447, (1, 0, 1, 1, 0): 430, (1, 0, 1, 0, 0): 426, (1, 0, 0, 1, 1): 400, (1, 1, 0, 1, 1): 360, (0, 0, 1, 0, 0): 332, (0, 0, 1, 1, 1): 58, (0, 0, 0, 0, 0): 38, (1, 1, 1, 0, 0): 36, (0, 0, 0, 1, 1): 36, (1, 1, 1, 1, 1): 32, (1, 1, 0, 0, 0): 32, (1, 1, 1, 0, 1): 2, (1, 0, 1, 1, 1): 1, (0, 0, 0, 0, 1): 1, (0, 1, 0, 0, 0): 1, (0, 1, 1, 1, 1): 1})",,butterfly,,,0.0,Nelder-Mead,1.0,"(1, 0, 1, 0, 1)",,
7,"(array([1.89260691]), array([0.58398311]))",qvm,"Counter({(1, 1, 0, 0, 1): 505, (1, 0, 1, 0, 0): 495, (0, 1, 1, 0, 1): 477, (0, 1, 0, 1, 1): 472, (1, 1, 0, 1, 0): 468, (1, 0, 0, 1, 1): 461, (1, 0, 0, 1, 0): 455, (0, 0, 1, 1, 0): 453, (0, 1, 1, 0, 0): 451, (0, 1, 0, 1, 0): 450, (0, 1, 1, 1, 0): 444, (0, 0, 1, 0, 1): 441, (0, 1, 0, 0, 1): 433, (1, 0, 0, 0, 1): 426, (1, 0, 1, 0, 1): 417, (1, 0, 1, 1, 0): 410, (1, 1, 0, 1, 1): 370, (0, 0, 1, 0, 0): 343, (1, 1, 1, 1, 1): 40, (0, 0, 0, 1, 1): 38, (1, 1, 1, 0, 0): 37, (1, 1, 0, 0, 0): 37, (0, 0, 1, 1, 1): 31, (0, 0, 0, 0, 0): 26, (1, 1, 1, 0, 1): 4, (1, 0, 0, 0, 0): 2, (0, 0, 0, 1, 0): 2, (0, 0, 0, 0, 1): 2, (0, 1, 1, 1, 1): 1, (0, 1, 0, 0, 0): 1})",,butterfly,,,0.0,Nelder-Mead,1.0,"(1, 1, 0, 0, 1)",,
8,"(array([2.82097334]), array([5.69757107]))",qvm,"Counter({(0, 1, 0, 0, 1): 485, (0, 1, 1, 1, 0): 477, (1, 1, 0, 0, 1): 475, (0, 0, 1, 0, 1): 475, (1, 1, 0, 1, 0): 466, (0, 1, 0, 1, 0): 465, (1, 0, 1, 0, 1): 456, (1, 0, 1, 1, 0): 454, (0, 0, 1, 1, 0): 453, (1, 0, 1, 0, 0): 449, (1, 0, 0, 0, 1): 445, (0, 1, 1, 0, 1): 443, (0, 1, 1, 0, 0): 439, (1, 0, 0, 1, 0): 434, (0, 1, 0, 1, 1): 431, (1, 0, 0, 1, 1): 401, (0, 0, 1, 0, 0): 364, (1, 1, 0, 1, 1): 355, (0, 0, 1, 1, 1): 48, (1, 1, 0, 0, 0): 38, (1, 1, 1, 0, 0): 37, (1, 1, 1, 1, 1): 32, (0, 0, 0, 1, 1): 30, (0, 0, 0, 0, 0): 29, (1, 0, 0, 0, 0): 4, (0, 1, 0, 0, 0): 2, (1, 0, 1, 1, 1): 2, (0, 0, 0, 0, 1): 2, (0, 0, 0, 1, 0): 1})",,butterfly,,,0.0,Nelder-Mead,1.0,"(0, 1, 0, 0, 1)",,
9,"(array([0.32089043]), array([0.59032253]))",qvm,"Counter({(0, 1, 1, 0, 1): 482, (1, 0, 1, 0, 0): 478, (1, 1, 0, 0, 1): 476, (1, 0, 0, 1, 0): 472, (1, 0, 0, 1, 1): 469, (0, 0, 1, 0, 1): 461, (1, 1, 0, 1, 0): 457, (0, 0, 1, 1, 0): 457, (1, 0, 0, 0, 1): 456, (0, 1, 1, 0, 0): 452, (0, 1, 1, 1, 0): 449, (1, 0, 1, 1, 0): 447, (0, 1, 0, 0, 1): 445, (0, 1, 0, 1, 1): 443, (1, 0, 1, 0, 1): 434, (0, 1, 0, 1, 0): 426, (1, 1, 0, 1, 1): 344, (0, 0, 1, 0, 0): 307, (0, 0, 0, 1, 1): 46, (1, 1, 1, 0, 0): 44, (0, 0, 1, 1, 1): 41, (1, 1, 1, 1, 1): 38, (1, 1, 0, 0, 0): 35, (0, 0, 0, 0, 0): 27, (0, 1, 0, 0, 0): 2, (0, 0, 0, 0, 1): 2, (1, 0, 0, 0, 0): 1, (0, 1, 1, 1, 1): 1})",,butterfly,,,0.0,Nelder-Mead,1.0,"(0, 1, 1, 0, 1)",,
