,angles,backend,distribution,energy,graph,iterations,max-cut objective,noise,optimizer,p,solution,solution objective,time
0,"(array([2.09431965, 1.17987435]), array([4.09280298, 2.05597485]))",qvm,"Counter({(1, 0, 1, 0): 3633, (0, 1, 0, 1): 3491, (0, 0, 1, 1): 171, (1, 0, 0, 1): 160, (0, 1, 1, 0): 158, (1, 1, 0, 0): 142, (1, 1, 1, 1): 91, (0, 0, 0, 0): 81, (1, 0, 0, 0): 76, (0, 0, 1, 0): 49, (0, 1, 1, 1): 48, (1, 1, 0, 1): 46, (1, 0, 1, 1): 15, (0, 0, 0, 1): 13, (0, 1, 0, 0): 12, (1, 1, 1, 0): 6})",,diamond,,,no,NELDER_MEAD,2.0,"(1, 0, 1, 0)",,
1,"(array([2.27629233, 0.32617204]), array([3.98390035, 3.5674904 ]))",qvm,"Counter({(0, 1, 0, 1): 3648, (1, 0, 1, 0): 3443, (0, 0, 1, 1): 285, (1, 0, 0, 1): 259, (0, 1, 1, 0): 253, (1, 1, 0, 0): 251, (1, 1, 1, 1): 10, (0, 1, 1, 1): 10, (0, 0, 1, 0): 9, (1, 0, 0, 0): 8, (1, 1, 0, 1): 6, (0, 0, 0, 0): 6, (1, 1, 1, 0): 2, (1, 0, 1, 1): 1, (0, 1, 0, 0): 1})",,diamond,,,no,NELDER_MEAD,2.0,"(0, 1, 0, 1)",,
2,"(array([1.3389729 , 0.18672746]), array([5.65821577, 1.61486442]))",qvm,"Counter({(0, 1, 0, 1): 1841, (1, 0, 1, 0): 1837, (0, 0, 1, 1): 835, (1, 0, 0, 1): 812, (1, 1, 0, 0): 801, (0, 1, 1, 0): 760, (1, 1, 0, 1): 321, (0, 0, 1, 0): 320, (0, 1, 1, 1): 310, (1, 0, 0, 0): 300, (0, 1, 0, 0): 19, (1, 0, 1, 1): 17, (1, 1, 1, 0): 10, (0, 0, 0, 1): 6, (1, 1, 1, 1): 3})",,diamond,,,no,NELDER_MEAD,2.0,"(0, 1, 0, 1)",,
3,"(array([0.526683  , 2.75251248]), array([4.08981514, 2.06334156]))",qvm,"Counter({(0, 1, 0, 1): 3546, (1, 0, 1, 0): 3461, (1, 1, 0, 0): 198, (0, 1, 1, 0): 197, (0, 0, 1, 1): 186, (1, 0, 0, 1): 160, (1, 1, 1, 1): 82, (0, 0, 0, 0): 78, (1, 1, 0, 1): 72, (0, 0, 1, 0): 57, (0, 1, 1, 1): 52, (1, 0, 0, 0): 50, (1, 0, 1, 1): 21, (0, 1, 0, 0): 12, (1, 1, 1, 0): 12, (0, 0, 0, 1): 8})",,diamond,,,no,NELDER_MEAD,2.0,"(0, 1, 0, 1)",,
4,"(array([0.2963811 , 0.63460714]), array([1.10925066, 2.80992111]))",qvm,"Counter({(1, 0, 1, 0): 3538, (0, 1, 0, 1): 3436, (1, 1, 0, 0): 179, (0, 1, 1, 0): 178, (1, 0, 0, 1): 169, (0, 0, 1, 1): 153, (0, 0, 0, 0): 118, (1, 1, 1, 1): 116, (0, 0, 0, 1): 67, (1, 1, 1, 0): 63, (1, 0, 1, 1): 60, (0, 1, 0, 0): 60, (0, 1, 1, 1): 19, (0, 0, 1, 0): 16, (1, 1, 0, 1): 15, (1, 0, 0, 0): 5})",,diamond,,,no,NELDER_MEAD,2.0,"(1, 0, 1, 0)",,
5,"(array([0.41759744, 0.86799932]), array([5.17632874, 0.38498753]))",qvm,"Counter({(1, 0, 1, 0): 2298, (0, 1, 0, 1): 2261, (0, 1, 1, 0): 620, (1, 1, 0, 0): 613, (1, 0, 0, 1): 602, (0, 0, 1, 1): 582, (1, 1, 0, 1): 293, (1, 0, 0, 0): 282, (0, 1, 1, 1): 274, (0, 0, 1, 0): 256, (1, 1, 1, 1): 24, (0, 0, 0, 1): 23, (1, 1, 1, 0): 20, (0, 1, 0, 0): 19, (0, 0, 0, 0): 15, (1, 0, 1, 1): 10})",,diamond,,,no,NELDER_MEAD,2.0,"(1, 0, 1, 0)",,
6,"(array([1.8013723, 2.954361 ]), array([0.62670669, 4.66808673]))",qvm,"Counter({(1, 0, 1, 0): 1789, (0, 1, 0, 1): 1738, (1, 1, 0, 0): 854, (0, 0, 1, 1): 832, (0, 1, 1, 0): 812, (1, 0, 0, 1): 804, (0, 0, 1, 0): 339, (0, 1, 1, 1): 337, (1, 0, 0, 0): 324, (1, 1, 0, 1): 314, (1, 0, 1, 1): 15, (0, 1, 0, 0): 13, (1, 1, 1, 0): 10, (0, 0, 0, 1): 9, (0, 0, 0, 0): 1, (1, 1, 1, 1): 1})",,diamond,,,no,NELDER_MEAD,2.0,"(1, 0, 1, 0)",,
7,"(array([0.79229133, 2.67778263]), array([1.27035378, 1.94803859]))",qvm,"Counter({(0, 0, 1, 1): 1057, (0, 1, 1, 0): 997, (1, 0, 0, 1): 967, (1, 1, 0, 0): 958, (0, 1, 0, 1): 836, (1, 0, 1, 0): 796, (1, 0, 0, 0): 569, (0, 1, 1, 1): 559, (1, 1, 0, 1): 553, (0, 0, 1, 0): 521, (1, 1, 1, 0): 92, (1, 0, 1, 1): 88, (0, 1, 0, 0): 86, (0, 0, 0, 1): 77, (0, 0, 0, 0): 20, (1, 1, 1, 1): 16})",,diamond,,,no,NELDER_MEAD,2.0,"(0, 0, 1, 1)",,
8,"(array([2.38491725, 0.28945225]), array([2.39021422, 1.3821233 ]))",qvm,"Counter({(1, 0, 1, 0): 2151, (0, 1, 0, 1): 2066, (1, 1, 0, 1): 464, (1, 0, 0, 0): 437, (0, 1, 1, 1): 432, (0, 0, 1, 0): 432, (1, 0, 0, 1): 383, (0, 1, 1, 0): 373, (0, 0, 1, 1): 371, (1, 1, 0, 0): 354, (1, 1, 1, 1): 170, (0, 0, 0, 0): 137, (0, 0, 0, 1): 113, (1, 1, 1, 0): 110, (0, 1, 0, 0): 102, (1, 0, 1, 1): 97})",,diamond,,,no,NELDER_MEAD,2.0,"(1, 0, 1, 0)",,
9,"(array([2.32997981, 1.36913164]), array([4.24331528, 5.1866033 ]))",qvm,"Counter({(0, 1, 0, 1): 2136, (1, 0, 1, 0): 2064, (0, 1, 1, 1): 486, (1, 1, 0, 1): 461, (1, 0, 0, 0): 453, (0, 0, 1, 0): 414, (1, 1, 0, 0): 409, (0, 0, 1, 1): 406, (0, 1, 1, 0): 403, (1, 0, 0, 1): 402, (0, 0, 0, 0): 155, (1, 1, 1, 1): 141, (1, 0, 1, 1): 74, (1, 1, 1, 0): 66, (0, 0, 0, 1): 64, (0, 1, 0, 0): 58})",,diamond,,,no,NELDER_MEAD,2.0,"(0, 1, 0, 1)",,
