,angles,backend,distribution,energy,graph,iterations,max-cut objective,noise,optimizer,p,solution,solution objective,time
0,"(array([2.28386994, 2.17263289]), array([4.05857717, 6.02632878]))",qvm,"Counter({(1, 0, 1, 0): 1401, (1, 1, 0, 0): 1394, (0, 0, 1, 1): 1383, (0, 1, 0, 1): 1381, (0, 1, 1, 0): 1328, (1, 0, 0, 1): 1305})",,"regular(3,4)",,,0.0,Nelder-Mead,2.0,"(1, 0, 1, 0)",,
1,"(array([1.09168281, 0.84598075]), array([2.31339311, 4.92939625]))",qvm,"Counter({(0, 1, 0, 1): 1448, (1, 0, 1, 0): 1415, (1, 1, 0, 0): 1351, (0, 1, 1, 0): 1346, (1, 0, 0, 1): 1333, (0, 0, 1, 1): 1299})",,"regular(3,4)",,,0.0,Nelder-Mead,2.0,"(0, 1, 0, 1)",,
2,"(array([2.01174283, 2.83244361]), array([1.66265613, 5.12207831]))",qvm,"Counter({(1, 0, 1, 0): 1142, (1, 0, 0, 1): 1117, (1, 1, 0, 0): 1113, (0, 1, 1, 0): 1104, (0, 1, 0, 1): 1089, (0, 0, 1, 1): 1068, (1, 0, 0, 0): 188, (0, 0, 0, 1): 186, (0, 1, 1, 1): 181, (0, 1, 0, 0): 174, (1, 1, 1, 0): 172, (0, 0, 1, 0): 170, (1, 1, 0, 1): 164, (1, 0, 1, 1): 159, (0, 0, 0, 0): 83, (1, 1, 1, 1): 82})",,"regular(3,4)",,,0.0,Nelder-Mead,2.0,"(1, 0, 1, 0)",,
3,"(array([0.40736237, 2.48488307]), array([5.71062105, 1.7392035 ]))",qvm,"Counter({(1, 0, 1, 0): 1407, (1, 0, 0, 1): 1374, (1, 1, 0, 0): 1374, (0, 1, 0, 1): 1348, (0, 1, 1, 0): 1348, (0, 0, 1, 1): 1341})",,"regular(3,4)",,,0.0,Nelder-Mead,2.0,"(1, 0, 1, 0)",,
4,"(array([2.40090399, 0.56008575]), array([0.56661127, 4.95633081]))",qvm,"Counter({(0, 1, 0, 1): 1439, (1, 0, 1, 0): 1387, (1, 0, 0, 1): 1371, (1, 1, 0, 0): 1353, (0, 1, 1, 0): 1337, (0, 0, 1, 1): 1305})",,"regular(3,4)",,,0.0,Nelder-Mead,2.0,"(0, 1, 0, 1)",,
5,"(array([3.01774264, 1.41935075]), array([5.70296109, 0.17576923]))",qvm,"Counter({(1, 1, 0, 0): 999, (0, 0, 1, 1): 996, (0, 1, 1, 0): 984, (1, 0, 0, 1): 969, (1, 0, 1, 0): 942, (0, 1, 0, 1): 916, (0, 1, 1, 1): 299, (1, 1, 1, 0): 298, (0, 1, 0, 0): 298, (0, 0, 1, 0): 292, (1, 0, 0, 0): 286, (0, 0, 0, 1): 275, (1, 0, 1, 1): 272, (1, 1, 0, 1): 268, (1, 1, 1, 1): 51, (0, 0, 0, 0): 47})",,"regular(3,4)",,,0.0,Nelder-Mead,2.0,"(1, 1, 0, 0)",,
6,"(array([0.20150744, 1.40473732]), array([2.62745071, 1.59732699]))",qvm,"Counter({(0, 1, 0, 1): 1395, (1, 0, 0, 1): 1355, (0, 0, 1, 1): 1327, (1, 1, 0, 0): 1315, (1, 0, 1, 0): 1312, (0, 1, 1, 0): 1276, (0, 1, 1, 1): 30, (1, 1, 1, 1): 28, (1, 0, 0, 0): 22, (0, 0, 0, 0): 21, (1, 0, 1, 1): 21, (0, 1, 0, 0): 20, (1, 1, 1, 0): 19, (0, 0, 0, 1): 17, (1, 1, 0, 1): 17, (0, 0, 1, 0): 17})",,"regular(3,4)",,,0.0,Nelder-Mead,2.0,"(0, 1, 0, 1)",,
7,"(array([0.20565072, 2.06604871]), array([5.33476322, 3.42969917]))",qvm,"Counter({(1, 1, 0, 0): 1299, (1, 0, 1, 0): 1242, (0, 1, 0, 1): 1212, (0, 1, 1, 0): 1193, (0, 0, 1, 1): 1179, (1, 0, 0, 1): 1167, (1, 0, 1, 1): 117, (0, 0, 1, 0): 114, (1, 1, 1, 0): 113, (0, 1, 0, 0): 113, (0, 1, 1, 1): 98, (1, 1, 0, 1): 92, (1, 0, 0, 0): 85, (0, 0, 0, 1): 83, (1, 1, 1, 1): 44, (0, 0, 0, 0): 41})",,"regular(3,4)",,,0.0,Nelder-Mead,2.0,"(1, 1, 0, 0)",,
8,"(array([1.07870229, 0.62499493]), array([0.46803718, 4.68006876]))",qvm,"Counter({(1, 0, 0, 1): 1401, (1, 0, 1, 0): 1375, (1, 1, 0, 0): 1374, (0, 1, 1, 0): 1336, (0, 1, 0, 1): 1336, (0, 0, 1, 1): 1310, (0, 0, 1, 0): 11, (1, 0, 0, 0): 9, (1, 0, 1, 1): 8, (0, 1, 0, 0): 8, (0, 0, 0, 1): 5, (1, 1, 1, 0): 5, (0, 1, 1, 1): 5, (1, 1, 0, 1): 5, (0, 0, 0, 0): 2, (1, 1, 1, 1): 2})",,"regular(3,4)",,,0.0,Nelder-Mead,2.0,"(1, 0, 0, 1)",,
9,"(array([2.73284561, 0.91334021]), array([0.57891196, 1.40087561]))",qvm,"Counter({(1, 0, 0, 1): 1405, (1, 1, 0, 0): 1405, (1, 0, 1, 0): 1363, (0, 0, 1, 1): 1361, (0, 1, 1, 0): 1332, (0, 1, 0, 1): 1326})",,"regular(3,4)",,,0.0,Nelder-Mead,2.0,"(1, 0, 0, 1)",,
